path,title,modified,purpose,version_or_milestone,currentness,duplicate_or_superseded,audience,value,recommended_action,explanation
Docs/inventories/COMMAND_OWNERSHIP_MATRIX.md,Command Ownership Matrix,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts","2026-05-20, 2026-05-15",Current,no obvious duplicate,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
Docs/inventories/LOCAL_API_ROUTE_OWNERSHIP_MAP.md,Local API Route Ownership Map,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts",not stated,Current,no obvious duplicate,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
Docs/inventories/RELEASE_PACKAGE_ADMIN_INVENTORY.md,Release Package Admin Inventory,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts",2026-05-20,Current,no obvious duplicate,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
Docs/inventories/ROOT_SCRIPT_INVENTORY.md,Root Script Inventory and Purpose Table,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts","V6, 2026-05-20",Current,no obvious duplicate,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
Docs/operator/NO_TOUCH_BOUNDARY_REGISTER.md,No-Touch Boundary Register,2026-05-20 12:16,operator-facing runbook or glossary,"V4, V5, V6",Needs update,no obvious duplicate,operator-facing,90,UPDATE,Canonical or high-value navigation/safety/current-state document. This pass found stale or missing-reference wording and updates it in place.
Docs/README_MediaPipelineRemuxEncodeAIO.md,MediaPipelineRemuxEncodeAIO,2026-05-20 12:16,README or setup/navigation document,"V6, V5, PG-3, 2026-05-18",Current,no obvious duplicate,operator-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
Docs/sample-validation/V5_REAL_MEDIA_VALIDATION_PLAYBOOK.md,V5/V6 Real-Media Validation Playbook,2026-05-20 12:16,real-media/sample validation guidance,"V5, V6",Needs human review,no obvious duplicate,operator-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document. Active filename is V5-labeled; content may still be useful but naming should be reviewed after V6 settles.
Docs/testing/TEST_COVERAGE_MATRIX.md,Test Coverage Matrix,2026-05-20 12:16,testing and validation guidance,"V6, V4, V5, PG-1, Wave 5",Needs update,no obvious duplicate,developer-facing,90,UPDATE,Canonical or high-value navigation/safety/current-state document. This pass found stale or missing-reference wording and updates it in place. Contains stale or missing active-doc path references: Docs/ui/UI_IMPROVEMENT_CHECKLIST.md; Docs/ui/LAYOUT_MANAGER_EDGE_CASES.md; LAYOUT_MANAGER_EDGE_CASES.md
Docs/testing/VALIDATION_LADDER_RUNBOOK.md,Validation Ladder Runbook,2026-05-20 12:16,testing and validation guidance,"V5, V6, PG-1, 2026-05-15, 2026-05-20",Current,no obvious duplicate,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
Docs/testing/WEBVIEW_SMOKE_TEST_CATALOG.md,WebView Smoke Test Catalog,2026-05-20 12:16,testing and validation guidance,not stated,Current,no obvious duplicate,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
Docs/TLDR.md,MediaPipelineRemuxEncodeAIO V6 TLDR,2026-05-20 12:16,operator quick-start summary,"V6, V5",Needs update,no obvious duplicate,operator-facing,90,UPDATE,Canonical or high-value navigation/safety/current-state document. This pass found stale or missing-reference wording and updates it in place.
DOCS_HOUSEKEEPING_AUDIT.md,Documentation Housekeeping Audit,2026-05-20 12:16,documentation audit and inventory,"V6, V3, V4, V5, 2026-05-20",Needs update,no obvious duplicate,developer-facing,90,UPDATE,Canonical or high-value navigation/safety/current-state document. Contains stale or missing active-doc path references: Start-MediaPipelineRemuxEncodeAIO-DesktopApp; Launch-MediaPipelineRemuxEncodeAIO-DesktopApp; Docs/proposals/CODE_MANAGEMENT_CLEANUP_PLAN.md; Docs/ui/UI_IMPROVEMENT_CHECKLIST.md; ...
DOCS_HOUSEKEEPING_CHECKLIST.md,Documentation Housekeeping Checklist,2026-05-20 12:16,recurring documentation hygiene checklist,"V6, 2026-05-20",Needs update,no obvious duplicate,developer-facing,90,UPDATE,Canonical or high-value navigation/safety/current-state document. Contains stale or missing active-doc path references: Start-MediaPipelineRemuxEncodeAIO-DesktopApp; Launch-MediaPipelineRemuxEncodeAIO-DesktopApp
OPEN_WORK_CHECKLIST.md,Open Work Checklist,2026-05-20 12:16,active work queue and promotion blockers,"V5, V6, PG-3, Wave 6, Wave B",Needs update,no obvious duplicate,developer-facing,90,UPDATE,Canonical or high-value navigation/safety/current-state document. This pass found stale or missing-reference wording and updates it in place. Contains stale or missing active-doc path references: Docs/proposals/CODE_MANAGEMENT_CLEANUP_PLAN.md; Docs/ui/UI_IMPROVEMENT_CHECKLIST.md; LAYOUT_MANAGER_EDGE_CASES.md; Docs/RealMediaValidationRuns/real_media_validation_20260518_transition_followup_plan.md
SmokeTests/README.md,SmokeTests,2026-05-20 12:16,README or setup/navigation document,not stated,Current,same filename as DesktopApp/tauri_shell/README.md; Docs/DesktopApp/docs/README.md,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document. Duplicate/supersession signal: same filename as DesktopApp/tauri_shell/README.md; Docs/DesktopApp/docs/README.md
V6_SPLIT_NOTES.md,V6 Split Notes,2026-05-20 12:16,V6 split scope and validation record,"V6, V5, 2026-05-20, v6.000",Current,no obvious duplicate,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
Docs/REMEDIATION_CHANGELOG.md,MediaPipelineRemuxEncodeAIO V6 Remediation Changelog,2026-05-20 12:16,change history or documentation touch log,"V6, V5, V4, V3, PG-3",Current but too large for onboarding,no obvious duplicate,developer-facing,78,MOVE_TO_CHANGE_HISTORY,Canonical or high-value navigation/safety/current-state document. Contains stale or missing active-doc path references: Start-MediaPipelineRemuxEncodeAIO-DesktopApp; Launch-MediaPipelineRemuxEncodeAIO-DesktopApp; Docs/proposals/CODE_MANAGEMENT_CLEANUP_PLAN.md; Docs/ui/UI_IMPROVEMENT_CHECKLIST.md; ... Keep as forensic history; link from canonical docs rather than treating as first-read material.
Docs/architecture/CONFIG_KEY_GLOSSARY.md,Config Key Glossary,2026-05-20 12:16,"architecture, boundary, or design reference",2026-05-19,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/architecture/LOCAL_API_EVIDENCE_MUTATION_MATRIX.md,Local API Evidence vs Mutation Matrix,2026-05-20 12:16,"architecture, boundary, or design reference",not stated,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/architecture/LOCAL_API_SECURITY_SURFACE.md,Local API Security Surface,2026-05-20 12:16,"architecture, boundary, or design reference",2026-05-20,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/architecture/LOGGING_CONVENTION.md,Logging Convention,2026-05-20 12:16,"architecture, boundary, or design reference",not stated,Needs update,no obvious duplicate,developer-facing,70,UPDATE,Active developer/operator reference in a topic folder. Contains stale or missing active-doc path references: Docs/proposals/CODE_MANAGEMENT_CLEANUP_PLAN.md
Docs/architecture/NETWORK_LIFECYCLE_COMMAND_CONTRACT.md,Network Lifecycle Command Contract,2026-05-20 12:16,"architecture, boundary, or design reference","V5, 2026-05-20",Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/architecture/NETWORK_MODE_READ_ONLY_DOCUMENTATION.md,Network Mode Read-Only Documentation,2026-05-20 12:16,"architecture, boundary, or design reference",2026-05-20,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/architecture/REPAIR_RECONCILE_MUTATION_CONTRACT.md,Repair/Reconcile Mutation Contract,2026-05-20 12:16,"architecture, boundary, or design reference","V5, 2026-05-19",Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/architecture/SETTINGS_RAW_KEY_TRIAGE.md,Settings Raw-Key Triage,2026-05-20 12:16,"architecture, boundary, or design reference","2026-05-14, 2026-05-15, 2026-05-19",Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/architecture/STATE_SURFACE_INVENTORY.md,State Surface Inventory,2026-05-20 12:16,"architecture, boundary, or design reference",not stated,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/architecture/V5_MIGRATION_RISK_REGISTER.md,V5 Migration Risk Register,2026-05-20 12:16,"architecture, boundary, or design reference","V5, V6, V4, PG-3, 2026-05-14",Needs update,no obvious duplicate,developer-facing,70,UPDATE,Active developer/operator reference in a topic folder. Active filename is V5-labeled; content may still be useful but naming should be reviewed after V6 settles. Contains stale or missing active-doc path references: Docs/architecture/TAURI_WEBVIEW_PARITY_MATRIX.md
Docs/DOC_TOUCH_LOG.md,DOC_TOUCH_LOG.md,2026-05-20 12:16,change history or documentation touch log,"V4, V5, V6, PG-3, PG-2",Current change-history support,no obvious duplicate,developer-facing,70,MOVE_TO_CHANGE_HISTORY,Canonical or high-value navigation/safety/current-state document. Contains stale or missing active-doc path references: LAYOUT_MANAGER_EDGE_CASES.md; Docs/architecture/TAURI_WEBVIEW_PARITY_MATRIX.md Maintain as touch-log evidence when normal discipline requires it.
Docs/inventories/LOG_ARTIFACT_CATALOG.md,Log Artifact Catalog,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts","V5, 2026-05-14",Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/PACKAGING_DEPENDENCY_INVENTORY.md,Packaging Dependency Inventory,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts",not stated,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/PENDING_PUBLISH_FIXTURE_INVENTORY.md,Pending Publish Fixture Inventory,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts",not stated,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/RENAME_SAFETY_TEST_INVENTORY.md,Rename Safety Test Inventory,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts",2026-05-19,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/RENAME_TOOL_EDGE_CASE_CATALOG.md,Rename Tool Edge Case Catalog,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts",2026-05-14,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/RUNTIME_ARTIFACT_INVENTORY.md,Runtime Artifact Inventory,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts",V6,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/SETTINGS_BUILDER_COVERAGE_MATRIX.md,Settings Builder Coverage Matrix,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts","V5, 2026-05-15",Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/SETTINGS_KEY_OWNERSHIP_MAP.md,Settings Key Ownership Map,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts",2026-05-14,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/SMOKE_TEST_INVENTORY.md,Smoke Test Inventory,2026-05-20 12:16,testing and validation guidance,2026-05-20,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/STATE_FILE_SCHEMA_REFERENCE.md,State File Schema Reference,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts","V5, 2026-05-14",Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/TEST_SUITE_SUBSYSTEM_INVENTORY.md,Test Suite Subsystem Inventory,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts",not stated,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/WEBVIEW_DOM_ID_INVENTORY.md,WebView DOM ID Inventory,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts","V5, 2026-05-20, 2026-05-15, 2026-05-16, 2026-05-18",Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/inventories/WEBVIEW_GLOBAL_EXPORT_INVENTORY.md,WebView Global Export Inventory,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts","2026-05-20, 2026-05-15, 2026-05-18, 2026-05-19",Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/sample-validation/REAL_MEDIA_VALIDATION_EVIDENCE_TEMPLATE.md,Real-Media Validation Evidence Template,2026-05-20 12:16,real-media/sample validation guidance,"V6, V5",Current,no obvious duplicate,operator-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/sample-validation/SAMPLE_VALIDATION_PAYLOAD_SCHEMA_REFERENCE.md,Sample Validation Payload Schema Reference,2026-05-20 12:16,real-media/sample validation guidance,2026-05-15,Current,no obvious duplicate,operator-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/sample-validation/SAMPLE_VALIDATION_RECORD_OPERATOR_GUIDE.md,Sample Validation Record Evidence Operator Guide,2026-05-20 12:16,real-media/sample validation guidance,"V5, 2026-05-15",Current,no obvious duplicate,operator-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/sample-validation/V5_SAMPLE_VALIDATION_ARTIFACT_DESIGN.md,V5 Sample Validation Artifact Design,2026-05-20 12:16,real-media/sample validation guidance,V5,Needs human review,no obvious duplicate,operator-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder. Active filename is V5-labeled; content may still be useful but naming should be reviewed after V6 settles.
Docs/testing/BROWSER_SMOKE_DOES_NOT_MUTATE_MATRIX.md,"Browser Smoke ""Does Not Mutate"" Matrix",2026-05-20 12:16,testing and validation guidance,"V5, 2026-05-18, 2026-05-20, 2026-05-15",Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/testing/BROWSER_SMOKE_FAILURE_TRIAGE_CHEATSHEET.md,Browser Smoke Failure Triage Cheatsheet,2026-05-20 12:16,testing and validation guidance,"2026-05-14, 2026-05-15",Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/testing/BROWSER_SMOKE_PREREQUISITES_CHECKLIST.md,Browser Smoke Prerequisites Checklist,2026-05-20 12:16,testing and validation guidance,not stated,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/testing/BROWSER_SMOKE_TEST_RUNBOOK.md,Browser Smoke Test Runbook,2026-05-20 12:16,testing and validation guidance,not stated,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/testing/WEBVIEW_SMOKE_RESULT_TEMPLATE.md,WebView Smoke Result Log Template,2026-05-20 12:16,testing and validation guidance,not stated,Current,no obvious duplicate,developer-facing,70,KEEP_AS_CANONICAL,Active developer/operator reference in a topic folder.
Docs/operator/COMPLETED_PENDING_FAILURE_PLAYBOOK.md,Completed / Pending Publish Failure Playbook,2026-05-20 12:16,operator-facing runbook or glossary,2026-05-14,Current,no obvious duplicate,operator-facing,68,KEEP_AS_CANONICAL,Operator reference remains useful in its topic folder.
Docs/operator/DIAGNOSTICS_READ_ONLY_TARGETS_RUNBOOK.md,Diagnostics Read-Only Targets Runbook,2026-05-20 12:16,operator-facing runbook or glossary,2026-05-15,Current,no obvious duplicate,operator-facing,68,KEEP_AS_CANONICAL,Operator reference remains useful in its topic folder.
Docs/operator/FAILURE_TRIAGE_WORKSHEET.md,Failure Triage Worksheet,2026-05-20 12:16,operator-facing runbook or glossary,not stated,Current,no obvious duplicate,operator-facing,68,KEEP_AS_CANONICAL,Operator reference remains useful in its topic folder.
Docs/operator/OPERATOR_GLOSSARY.md,Operator Glossary,2026-05-20 12:16,operator-facing runbook or glossary,"V5, V6, 2026-05-15",Current,no obvious duplicate,operator-facing,68,KEEP_AS_CANONICAL,Operator reference remains useful in its topic folder.
Docs/operator/POWERSHELL_HOST_EXPECTATIONS.md,PowerShell Host Expectations,2026-05-20 12:16,operator-facing runbook or glossary,V6,Current,no obvious duplicate,operator-facing,68,KEEP_AS_CANONICAL,Operator reference remains useful in its topic folder.
Docs/operator/TERMINOLOGY_CONSISTENCY_GUIDE.md,Terminology Consistency Guide,2026-05-20 12:16,operator-facing runbook or glossary,"V5, 2026-05-14",Current,no obvious duplicate,operator-facing,68,KEEP_AS_CANONICAL,Operator reference remains useful in its topic folder.
Docs/operator/WEBVIEW_MANUAL_OPERATOR_TEST_SCRIPT.md,WebView Manual Operator Test Script,2026-05-20 12:16,operator-facing runbook or glossary,"V5, 2026-05-14, 2026-05-15",Current,no obvious duplicate,operator-facing,68,KEEP_AS_CANONICAL,Operator reference remains useful in its topic folder.
Docs/operator/WEBVIEW_SCOPE_PREVIEW_OPERATOR_GUIDE.md,WebView Scope Preview Operator Guide,2026-05-20 12:16,operator-facing runbook or glossary,2026-05-15,Current,no obvious duplicate,operator-facing,68,KEEP_AS_CANONICAL,Operator reference remains useful in its topic folder.
Docs/audits/DEAD_EXPORT_AUDIT_2026-05-19.md,Dead Export Audit - 2026-05-19,2026-05-20 12:16,audit result or review output,2026-05-19,Needs update,no obvious duplicate,developer-facing,65,UPDATE,Active documentation with some ongoing reference value. Contains stale or missing active-doc path references: Docs/proposals/CODE_MANAGEMENT_CLEANUP_PLAN.md
DOCS_HOUSEKEEPING_MOVE_PLAN_BLOCKED.md,Documentation Housekeeping Move Plan - Blocked,2026-05-20 12:16,documentation/reference note,2026-05-20,Needs update,no obvious duplicate,developer-facing,65,MOVE_TO_ARCHIVE,Root-level historical report or compatibility redirect; not a current operator entry point. Contains stale or missing active-doc path references: Docs/architecture/DEPLOYABILITY_CHECKLIST.md; Docs/architecture/TAURI_WEBVIEW_PARITY_MATRIX.md; Docs/DesktopApp/README_MediaPipelineRemuxEncodeAIO_DesktopApp.md; Docs/DesktopApp/docs/FEATURE_OUTLINE_AND_SOFTWARE_COMPARISON.md
DOCS_HOUSEKEEPING_POST_MOVE_REPORT.md,Docs Housekeeping Post-Move Report,2026-05-20 12:16,documentation/reference note,"V6, 2026-05-20",Needs update,no obvious duplicate,developer-facing,65,MOVE_TO_ARCHIVE,Root-level historical report or compatibility redirect; not a current operator entry point. Contains stale or missing active-doc path references: Docs/proposals/CODE_MANAGEMENT_CLEANUP_PLAN.md; Docs/architecture/DEPLOYABILITY_CHECKLIST.md; Docs/architecture/TAURI_WEBVIEW_PARITY_MATRIX.md; Docs/DesktopApp/README_MediaPipelineRemuxEncodeAIO_DesktopApp.md; ...
Docs/ui/V6_TAB_WORKFLOW_REDESIGN_EXECUTION_PLAN.md,V6 Tab Workflow Redesign Execution Plan,2026-05-20 12:16,UI design or workflow planning,"V6, V4, 2026-05-20",Current,no obvious duplicate,developer-facing,62,KEEP_AS_CANONICAL,UI planning/reference material; keep active only while current.
Docs/DesktopApp/docs/V5_UI_DESIGN_REFERENCE.md,V5 UI Design Reference,2026-05-20 12:16,documentation/reference note,"V5, V6",Needs human review,no obvious duplicate,developer-facing,60,KEEP_AS_CANONICAL,Active documentation with some ongoing reference value. Active filename is V5-labeled; content may still be useful but naming should be reviewed after V6 settles.
Docs/ACTIVE_FIX_CHECKLIST.md,Active Fix Checklist,2026-05-20 12:16,documentation/reference note,2026-05-20,Current,same title as Docs/archive/docs-housekeeping/2026-05-20-review/archive-historical/Docs/archive/historical-plans/ACTIVE_FIX_CHECKLIST_20260520_ARCHIVED.md,developer-facing,55,KEEP_AS_CANONICAL,Active documentation with some ongoing reference value. Duplicate/supersession signal: same title as Docs/archive/docs-housekeeping/2026-05-20-review/archive-historical/Docs/archive/historical-plans/ACTIVE_FIX_CHECKLIST_20260520_ARCHIVED.md
Docs/DesktopApp/docs/README.md,MediaPipelineRemuxEncodeAIO V6 WebView Notes,2026-05-20 12:16,README or setup/navigation document,V6,Current,same filename as DesktopApp/tauri_shell/README.md; SmokeTests/README.md,developer-facing,55,KEEP_AS_CANONICAL,Active documentation with some ongoing reference value. Duplicate/supersession signal: same filename as DesktopApp/tauri_shell/README.md; SmokeTests/README.md
Pipeline/PowerShell-7.6.0-win-x64/en-US/default.help.txt,TOPIC,2026-05-20 12:16,documentation/reference note,not stated,Current,no obvious duplicate,developer-facing,55,KEEP_AS_CANONICAL,Active documentation with some ongoing reference value.
Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.PSResourceGet/Notice.txt,NOTICES AND INFORMATION,2026-05-20 12:16,documentation/reference note,not stated,Current,same title as Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.ThreadJob/ThirdPartyNotices.txt; Pipeline/PowerShell-7.6.0-win-x64/ThirdPartyNotices.txt,developer-facing,55,KEEP_AS_CANONICAL,Active documentation with some ongoing reference value. Duplicate/supersession signal: same title as Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.ThreadJob/ThirdPartyNotices.txt; Pipeline/PowerShell-7.6.0-win-x64/ThirdPartyNotices.txt
Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.ThreadJob/ThirdPartyNotices.txt,NOTICES AND INFORMATION,2026-05-20 12:16,documentation/reference note,not stated,Current,same title as Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.PSResourceGet/Notice.txt; Pipeline/PowerShell-7.6.0-win-x64/ThirdPartyNotices.txt; same filename as Pipeline/PowerShell-7.6.0-win-x64/ThirdPartyNotices.txt,developer-facing,55,KEEP_AS_CANONICAL,Active documentation with some ongoing reference value. Duplicate/supersession signal: same title as Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.PSResourceGet/Notice.txt; Pipeline/PowerShell-7.6.0-win-x64/ThirdPartyNotices.txt; same filename as Pipeline/PowerShell-7.6.0-win-x64/ThirdPartyNotices.txt
Pipeline/PowerShell-7.6.0-win-x64/Modules/PSReadLine/Changes.txt,[2.4.5] - 2025-10-22,2026-05-20 12:16,documentation/reference note,"V3, V5",Current,no obvious duplicate,developer-facing,55,KEEP_AS_CANONICAL,Active documentation with some ongoing reference value.
Pipeline/PowerShell-7.6.0-win-x64/ThirdPartyNotices.txt,NOTICES AND INFORMATION,2026-05-20 12:16,documentation/reference note,V3,Current,same title as Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.PSResourceGet/Notice.txt; Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.ThreadJob/ThirdPartyNotices.txt; same filename as Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.ThreadJob/ThirdPartyNotices.txt,developer-facing,55,KEEP_AS_CANONICAL,Active documentation with some ongoing reference value. Duplicate/supersession signal: same title as Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.PSResourceGet/Notice.txt; Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.ThreadJob/ThirdPartyNotices.txt; same filename as Pipeline/PowerShell-7.6.0-win-x64/Modules/Microsoft.PowerShell.ThreadJob/ThirdPartyNotices.txt
